Year,Country,Spending_USD,Life_Expectancy,Exp_K,Category,Cumulative_Expenditure,CumAvg_Life_Expectancy,Exp_Percent_Change,LifeExp_Difference,Exp_Rank,Rolling_3yr_Exp
1970,Germany,252.311,70.6,0.252311,Low,252.311,70.6,,,2.0,
1970,France,192.143,72.2,0.192143,Low,192.143,72.2,,,3.0,
1970,Great Britain,123.993,71.9,0.12399299999999999,Low,123.993,71.9,,,5.0,
1970,Japan,150.437,72.0,0.15043700000000002,Low,150.437,72.0,,,4.0,
1970,USA,326.961,70.9,0.326961,Low,326.961,70.9,,,1.0,
1971,Canada,313.391,72.8,0.31339100000000003,Low,313.391,72.8,,,2.0,
1971,Germany,298.251,70.8,0.298251,Low,550.562,70.69999999999999,18.207688130917777,0.20000000000000284,3.0,
1971,Great Britain,134.172,71.9,0.13417199999999999,Low,258.16499999999996,71.9,8.209334397909561,0.0,5.0,
1971,Japan,163.854,72.9,0.163854,Low,314.29100000000005,72.45,8.918683568537,0.9000000000000057,4.0,
1971,USA,357.988,71.2,0.357988,Low,684.9490000000001,71.05000000000001,9.489510981432026,0.29999999999999716,1.0,
1972,Germany,337.364,71.0,0.337364,Low,887.9259999999999,70.8,13.114121997914507,0.20000000000000284,2.0,295.9753333333333
1972,Japan,185.39,73.2,0.18539,Low,499.68100000000004,72.7,13.143408156041335,0.29999999999999716,3.0,166.56033333333335
1972,USA,397.097,71.2,0.397097,Low,1082.046,71.10000000000001,10.924667865961979,0.0,1.0,360.682
1973,Germany,384.541,71.3,0.384541,Low,1272.467,70.925,13.984005406623123,0.29999999999999716,2.0,340.05199999999996
1973,Japan,205.778,73.4,0.205778,Low,705.4590000000001,72.875,10.997356923242908,0.20000000000000284,3.0,185.00733333333332
1973,USA,439.302,71.4,0.439302,Low,1521.348,71.17500000000001,10.628385507823035,0.20000000000000284,1.0,398.12899999999996
1974,Germany,452.744,71.5,0.45274400000000004,Low,1725.211,71.03999999999999,17.736210183049405,0.20000000000000284,2.0,391.5496666666666
1974,Japan,242.018,73.7,0.242018,Low,947.477,73.04,17.611212082924332,0.29999999999999716,3.0,211.06199999999998
1974,USA,495.114,72.0,0.495114,Low,2016.462,71.34,12.704699728205181,0.5999999999999943,1.0,443.8376666666666
1975,Germany,532.481,71.4,0.532481,Low,2257.692,71.10000000000001,17.611939639177976,-0.09999999999999432,2.0,456.5886666666667
1975,France,363.61,73.0,0.36361,Low,555.753,72.6,89.23926450612305,0.7999999999999972,3.0,
1975,Japan,284.269,74.3,0.284269,Low,1231.746,73.25,17.45779239560694,0.5999999999999943,4.0,244.02166666666665
1975,USA,560.75,72.7,0.56075,Low,2577.212,71.56666666666668,13.256744911272955,0.7000000000000028,1.0,498.38866666666667
1976,Canada,543.337,73.8,0.543337,Low,856.7280000000001,73.3,73.3735174271118,1.0,3.0,
1976,Germany,591.098,71.8,0.5910979999999999,Low,2848.79,71.2,11.008280107647028,0.3999999999999915,2.0,525.4409999999999
1976,Japan,303.725,74.8,0.303725,Low,1535.471,73.47142857142856,6.844221494429581,0.5,4.0,276.6706666666667
1976,USA,638.851,72.9,0.638851,Low,3216.063,71.75714285714285,13.927953633526524,0.20000000000000284,1.0,564.9050000000001
1977,Germany,647.352,72.5,0.6473519999999999,Low,3496.142,71.3625,9.516865223702343,0.7000000000000028,2.0,590.3103333333332
1977,Japan,340.628,75.3,0.340628,Medium,1876.099,73.7,12.15013581364721,0.5,3.0,309.5406666666667
1977,USA,726.241,73.3,0.726241,Low,3942.304,71.95,13.679246021372737,0.3999999999999915,1.0,641.9473333333334
1978,Germany,729.457,72.4,0.729457,Low,4225.599,71.47777777777777,12.683207899257276,-0.09999999999999432,2.0,655.9689999999999
1978,Japan,392.577,75.7,0.392577,Medium,2268.676,73.92222222222222,15.250948248529195,0.4000000000000057,3.0,345.6433333333334
1978,USA,808.884,73.5,0.808884,Low,4751.188,72.12222222222222,11.379555822378528,0.20000000000000284,1.0,724.6586666666667
1979,Canada,692.269,75.1,0.692269,Medium,1548.997,73.89999999999999,27.41061256641826,1.2999999999999972,3.0,516.3323333333334
1979,Germany,800.703,72.8,0.8007029999999999,Low,5026.302,71.61,9.766991063215503,0.3999999999999915,2.0,725.8373333333333
1979,Japan,452.931,76.2,0.452931,Medium,2721.607,74.15,15.37379928014122,0.5,4.0,395.3786666666667
1979,USA,908.963,73.9,0.908963,Low,5660.151,72.3,12.372478624870809,0.4000000000000057,1.0,814.6959999999999
1980,Canada,791.812,75.2,0.791812,Medium,2340.809,74.225,14.379236972910814,0.10000000000000853,3.0,675.806
1980,Germany,908.166,72.9,0.908166,Low,5934.468,71.72727272727273,13.421081224873642,0.10000000000000853,2.0,812.7753333333334
1980,France,659.826,74.3,0.659826,Low,1215.5790000000002,73.16666666666667,81.46530623470201,1.2999999999999972,4.0,405.19300000000004
1980,Great Britain,385.099,73.2,0.38509899999999997,Low,643.264,72.33333333333333,187.0189011120055,1.2999999999999972,6.0,214.42133333333334
1980,Japan,535.016,76.1,0.5350159999999999,Medium,3256.623,74.32727272727273,18.12306951831515,-0.10000000000000853,5.0,460.1746666666666
1980,USA,1036.3,73.7,1.0363,Low,6696.451,72.42727272727274,14.009041072078832,-0.20000000000000284,1.0,918.049
1981,Canada,898.807,75.5,0.898807,Medium,3239.616,74.47999999999999,13.512677251670846,0.29999999999999716,3.0,794.2959999999999
1981,Germany,1014.713,73.2,1.014713,Low,6949.181,71.85000000000001,11.732106244893536,0.29999999999999716,2.0,907.8606666666668
1981,Great Britain,433.957,73.8,0.433957,Low,1077.221,72.7,12.68712720625087,0.5999999999999943,5.0,317.74266666666665
1981,Japan,603.965,76.5,0.6039650000000001,Medium,3860.5879999999997,74.50833333333334,12.887278137476276,0.4000000000000057,4.0,530.6373333333333
1981,USA,1191.537,74.1,1.191537,Low,7887.988,72.56666666666668,14.97992859210655,0.3999999999999915,1.0,1045.6000000000001
1982,Canada,996.086,75.6,0.996086,Medium,4235.702,74.66666666666667,10.82312443049509,0.09999999999999432,3.0,895.5683333333333
1982,Germany,1044.528,73.5,1.0445280000000001,Low,7993.709,71.97692307692309,2.9382692446041414,0.29999999999999716,2.0,989.1356666666667
1982,Great Britain,448.477,74.1,0.44847699999999996,Low,1525.6979999999999,72.97999999999999,3.3459536313505733,0.29999999999999716,5.0,422.51099999999997
1982,Japan,664.777,76.9,0.6647770000000001,Medium,4525.365,74.6923076923077,10.068795377215567,0.4000000000000057,4.0,601.2526666666666
1982,USA,1329.669,74.5,1.329669,Low,9217.657,72.71538461538462,11.59275792526795,0.4000000000000057,1.0,1185.8353333333334
1983,Canada,1066.746,75.9,1.0667460000000002,Medium,5302.448,74.84285714285714,7.093764996195118,0.30000000000001137,3.0,987.2130000000001
1983,Germany,1104.594,73.8,1.104594,Low,9098.303,72.10714285714286,5.750539956803458,0.29999999999999716,2.0,1054.6116666666667
1983,Great Britain,501.924,74.3,0.5019239999999999,Low,2027.6219999999998,73.2,11.917445041774721,0.20000000000000284,5.0,461.45266666666663
1983,Japan,714.857,77.0,0.714857,Medium,5240.222,74.85714285714286,7.533353289900213,0.09999999999999432,4.0,661.1996666666668
1983,USA,1451.945,74.6,1.451945,Low,10669.602,72.85,9.195972832336462,0.09999999999999432,1.0,1324.3836666666666
1984,Canada,1135.02,76.2,1.13502,Medium,6437.468000000001,75.0125,6.400211484270857,0.29999999999999716,3.0,1065.9506666666666
1984,Germany,1196.56,74.3,1.1965599999999998,Low,10294.863,72.25333333333333,8.32577399478902,0.5,2.0,1115.2273333333335
1984,Great Britain,521.522,74.5,0.521522,Low,2549.1440000000002,73.38571428571429,3.9045751946509943,0.20000000000000284,5.0,490.641
1984,Japan,745.981,77.4,0.745981,Medium,5986.2029999999995,75.02666666666667,4.35387776856071,0.4000000000000057,4.0,708.5383333333333
1984,USA,1590.667,74.7,1.5906669999999998,Low,12260.269,72.97333333333333,9.554218651532942,0.10000000000000853,1.0,1457.427
1985,Canada,1212.85,76.3,1.21285,Medium,7650.318,75.15555555555555,6.8571478916670925,0.09999999999999432,3.0,1138.2053333333333
1985,Germany,1298.555,75.0,1.2985550000000001,Low,11593.418,72.425,8.524018854048276,0.7000000000000028,2.0,1199.903
1985,France,1001.145,75.4,1.001145,Medium,2216.724,73.725,51.72863754989952,1.1000000000000085,4.0,674.8603333333334
1985,Great Britain,549.608,74.7,0.549608,Low,3098.752,73.55,5.38539122031283,0.20000000000000284,6.0,524.3513333333334
1985,Japan,818.382,77.6,0.8183819999999999,Medium,6804.585,75.1875,9.705475072421411,0.19999999999998863,5.0,759.7399999999999
1985,USA,1735.156,74.7,1.735156,Low,13995.425,73.08125,9.083547970756921,0.0,1.0,1592.5893333333333
1986,Canada,1278.816,76.5,1.278816,Medium,8929.134,75.28999999999999,5.438924846436088,0.20000000000000284,3.0,1208.8953333333332
1986,Germany,1386.51,75.2,1.38651,Medium,12979.928,72.58823529411765,6.773298012021045,0.20000000000000284,2.0,1293.875
1986,Great Britain,578.61,74.8,0.5786100000000001,Low,3677.362,73.6888888888889,5.2768518653294905,0.09999999999999432,5.0,549.9133333333333
1986,Japan,859.855,78.1,0.859855,Medium,7664.44,75.35882352941177,5.067682329279011,0.5,4.0,808.0726666666666
1986,USA,1847.773,74.7,1.8477729999999999,Low,15843.198,73.17647058823529,6.490309804997363,0.0,1.0,1724.532
1987,Canada,1357.453,76.7,1.357453,Medium,10286.587,75.41818181818182,6.149203638365486,0.20000000000000284,3.0,1283.0396666666666
1987,Germany,1480.096,75.6,1.480096,Medium,14460.024,72.75555555555555,6.749752976898837,0.3999999999999915,2.0,1388.387
1987,Great Britain,634.956,75.2,0.634956,Medium,4312.318,73.84,9.738165603774561,0.4000000000000057,5.0,587.7246666666666
1987,Japan,916.703,78.5,0.9167029999999999,Medium,8581.143,75.53333333333333,6.611347262038358,0.4000000000000057,4.0,864.98
1987,USA,1976.166,74.9,1.9761659999999999,Low,17819.364,73.27222222222223,6.948526685907841,0.20000000000000284,1.0,1853.0316666666665
1988,Canada,1461.3,76.8,1.4613,Medium,11747.887,75.53333333333333,7.650135953141657,0.09999999999999432,3.0,1365.8563333333332
1988,Germany,1616.349,75.9,1.616349,Medium,16076.373,72.92105263157895,9.205686658162705,0.30000000000001137,2.0,1494.3183333333334
1988,Great Britain,688.049,75.3,0.688049,Medium,5000.367,73.97272727272728,8.361681754326277,0.09999999999999432,5.0,633.8716666666668
1988,Japan,969.251,78.4,0.969251,Medium,9550.394,75.6842105263158,5.732281884099866,-0.09999999999999432,4.0,915.2696666666666
1988,USA,2195.392,74.9,2.195392,Low,20014.756,73.3578947368421,11.093501254449256,0.0,1.0,2006.4436666666663
1989,Canada,1579.543,77.1,1.579543,Medium,13327.43,75.65384615384616,8.091630739752276,0.29999999999999716,3.0,1466.0986666666668
1989,Germany,1596.16,76.0,1.59616,Medium,17672.533,73.075,-1.249049555510584,0.09999999999999432,2.0,1564.2016666666666
1989,Great Britain,739.714,75.4,0.7397140000000001,Medium,5740.081,74.09166666666667,7.50891288265807,0.10000000000000853,5.0,687.573
1989,Japan,1021.247,78.8,1.021247,Medium,10571.641,75.84,5.364554692231427,0.3999999999999915,4.0,969.067
1989,USA,2424.654,75.1,2.424654,Medium,22439.41,73.44500000000001,10.442873072326053,0.19999999999998863,1.0,2198.737333333333
1990,Canada,1699.774,77.3,1.699774,Medium,15027.204,75.77142857142857,7.6117585909342145,0.20000000000000284,3.0,1580.2056666666665
1990,Germany,1724.332,77.3,1.7243320000000002,Medium,19396.865,73.27619047619048,8.030022052927022,1.2999999999999972,2.0,1645.6136666666669
1990,France,1459.11,77.0,1.45911,Medium,3675.834,74.38,45.744122979188816,1.5999999999999943,4.0,1040.0269999999998
1990,Great Britain,782.612,75.7,0.782612,Medium,6522.693,74.21538461538461,5.799268365881938,0.29999999999999716,6.0,736.7916666666666
1990,Japan,1088.959,78.9,1.088959,Medium,11660.6,75.9857142857143,6.630325474640331,0.10000000000000853,5.0,1026.4856666666667
1990,USA,2684.984,75.3,2.684984,Medium,25124.394,73.53333333333333,10.736789661535218,0.20000000000000284,1.0,2435.0099999999998
1991,Canada,1805.209,77.6,1.805209,Medium,16832.413,75.89333333333335,6.202883442151741,0.29999999999999716,2.0,1694.8419999999999
1991,France,1558.033,77.2,1.558033,Medium,5233.867,74.85000000000001,6.779680764301532,0.20000000000000284,3.0,1339.4293333333333
1991,Great Britain,842.797,75.9,0.842797,Medium,7365.49,74.33571428571429,7.690273085513644,0.20000000000000284,5.0,788.3743333333333
1991,Japan,1166.43,79.1,1.16643,Medium,12827.03,76.12727272727273,7.114225604453428,0.19999999999998863,4.0,1092.2120000000002
1991,USA,2901.589,75.5,2.901589,Medium,28025.983,73.62272727272727,8.067273399022113,0.20000000000000284,1.0,2670.409
1992,Canada,1897.456,77.8,1.8974559999999998,Medium,18729.869,76.0125,5.110045429642773,0.20000000000000284,3.0,1800.813
1992,Germany,2019.308,76.1,2.019308,Medium,21416.173,73.40454545454546,17.106682471820967,-1.2000000000000028,2.0,1779.9333333333334
1992,France,1651.139,77.5,1.651139,Medium,6885.005999999999,75.22857142857143,5.975868290337871,0.29999999999999716,4.0,1556.0939999999998
1992,Great Britain,930.701,76.3,0.930701,Medium,8296.191,74.46666666666667,10.430032380276621,0.3999999999999915,6.0,852.0366666666667
1992,Japan,1253.415,79.2,1.253415,Medium,14080.445,76.26086956521739,7.4573699236130775,0.10000000000000853,5.0,1169.6013333333333
1992,USA,3100.343,75.7,3.1003429999999996,Medium,31126.326,73.71304347826087,6.849832970830816,0.20000000000000284,1.0,2895.638666666667
1993,Canada,1930.889,77.8,1.9308889999999999,Medium,20660.758,76.11764705882354,1.7619907918813293,0.0,3.0,1877.8513333333333
1993,Germany,2040.313,76.1,2.0403130000000003,Medium,23456.486,73.52173913043478,1.04020783357468,0.0,2.0,1927.9843333333336
1993,France,1753.485,77.5,1.753485,Medium,8638.491,75.5125,6.198509029221655,0.0,4.0,1654.2189999999998
1993,Great Britain,995.728,76.2,0.995728,Medium,9291.919,74.575,6.986884079849487,-0.09999999999999432,6.0,923.0753333333332
1993,Japan,1332.213,79.4,1.3322129999999999,Medium,15412.658,76.39166666666667,6.286664831679856,0.20000000000000284,5.0,1250.686
1993,USA,3286.558,75.5,3.286558,Medium,34412.884,73.78750000000001,6.006270919056389,-0.20000000000000284,1.0,3096.1633333333334
1994,Canada,1962.196,77.9,1.9621959999999998,Medium,22622.953999999998,76.21666666666667,1.6213775105663686,0.10000000000000853,3.0,1930.180333333333
1994,Germany,2188.676,76.5,2.188676,Medium,25645.162,73.64583333333333,7.271580389871546,0.4000000000000057,2.0,2082.7656666666667
1994,France,1817.042,78.0,1.8170419999999998,Medium,10455.533,75.78888888888889,3.6246104186805184,0.5,4.0,1740.555333333333
1994,Great Britain,1058.68,76.8,1.05868,Medium,10350.599,74.70588235294117,6.322208474603519,0.5999999999999943,6.0,995.0363333333333
1994,Japan,1420.271,79.8,1.420271,Medium,16832.929,76.528,6.609903971812314,0.3999999999999915,5.0,1335.2996666666666
1994,USA,3432.101,75.7,3.4321010000000003,Medium,37844.985,73.864,4.428432420787942,0.20000000000000284,1.0,3273.000666666667
1995,Canada,1984.944,78.0,1.984944,Medium,24607.898,76.31052631578947,1.1593133407671763,0.09999999999999432,4.0,1959.3429999999998
1995,Germany,2349.145,76.6,2.349145,Medium,27994.307,73.764,7.331784147128229,0.09999999999999432,2.0,2192.711333333333
1995,France,2100.918,78.1,2.100918,Medium,12556.451,76.02000000000001,15.622974042427206,0.09999999999999432,3.0,1890.4816666666666
1995,Great Britain,1094.034,76.7,1.0940340000000002,Medium,11444.633,74.81666666666666,3.3394415687459933,-0.09999999999999432,6.0,1049.4806666666666
1995,Japan,1413.445,79.6,1.4134449999999998,Medium,18246.374,76.64615384615385,-0.48061250282516177,-0.20000000000000284,5.0,1388.643
1995,USA,3586.745,75.7,3.586745,Medium,41431.729999999996,73.93461538461538,4.505811454849362,0.0,1.0,3435.134666666667
1996,Canada,1999.778,78.2,1.999778,Medium,26607.676,76.405,0.7473258691429008,0.20000000000000284,4.0,1982.3059999999998
1996,Germany,2480.217,76.9,2.480217,Medium,30474.524,73.88461538461539,5.57956192572191,0.30000000000001137,2.0,2339.346
1996,France,2169.451,78.2,2.169451,Medium,14725.902,76.21818181818182,3.262050208527878,0.10000000000000853,3.0,2029.137
1996,Great Britain,1171.591,76.9,1.1715909999999998,Medium,12616.224,74.92631578947368,7.0890849827335956,0.20000000000000284,6.0,1108.1016666666667
1996,Japan,1436.372,80.3,1.436372,High,19682.746,76.78148148148148,1.6220652377701317,0.7000000000000028,5.0,1423.3626666666667
1996,USA,4158.928,76.1,4.1589279999999995,Medium,45590.657999999996,74.01481481481481,15.952709211276517,0.3999999999999915,1.0,3725.9246666666672
1997,Canada,2091.997,78.3,2.0919969999999997,Medium,28699.673,76.4952380952381,4.611461872267819,0.09999999999999432,4.0,2025.573
1997,Germany,2496.201,77.3,2.496201,Medium,32970.725,74.0111111111111,0.6444597388051143,0.3999999999999915,2.0,2441.854333333333
1997,France,2236.595,78.6,2.236595,Medium,16962.497,76.41666666666667,3.0949765631950177,0.3999999999999915,3.0,2168.988
1997,Great Britain,1507.352,77.2,1.507352,Medium,14123.576000000001,75.03999999999999,28.658550637551873,0.29999999999999716,6.0,1257.6589999999999
1997,Japan,1529.586,80.5,1.5295860000000001,High,21212.332,76.91428571428571,6.489544491259913,0.20000000000000284,5.0,1459.8010000000002
1997,USA,3894.282,76.5,3.894282,Medium,49484.94,74.10357142857143,-6.363322471559973,0.4000000000000057,1.0,3879.985
1998,Canada,2200.468,78.6,2.200468,Medium,30900.141,76.5909090909091,5.185045676451727,0.29999999999999716,4.0,2097.4143333333336
1998,Germany,2566.003,77.7,2.5660030000000003,Medium,35536.728,74.14285714285714,2.7963293020073277,0.4000000000000057,2.0,2514.1403333333333
